"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","Value","Flag and Footnotes"
"2016","Norway","Thousand euro","Total","1 night or over","Domestic",":",""
"2016","Switzerland","Thousand euro","Total","1 night or over","Domestic","2,333,951.75",""
"2017","Belgium","Thousand euro","Total","1 night or over","Domestic","611,872.23","b"
"2017","Bulgaria","Thousand euro","Total","1 night or over","Domestic","530,187.56",""
"2017","Czechia","Thousand euro","Total","1 night or over","Domestic","2,090,024.94",""
"2017","Denmark","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","42,297,311.36",""
"2017","Estonia","Thousand euro","Total","1 night or over","Domestic","276,723.42",""
"2017","Ireland","Thousand euro","Total","1 night or over","Domestic","1,526,129.21",""
"2017","Greece","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Spain","Thousand euro","Total","1 night or over","Domestic","25,260,978.47",""
"2017","France","Thousand euro","Total","1 night or over","Domestic","53,724,456.07",""
"2017","Croatia","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Italy","Thousand euro","Total","1 night or over","Domestic","14,919,535.64",""
"2017","Cyprus","Thousand euro","Total","1 night or over","Domestic","189,735.16",""
"2017","Latvia","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Lithuania","Thousand euro","Total","1 night or over","Domestic","186,100.66",""
"2017","Luxembourg","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Hungary","Thousand euro","Total","1 night or over","Domestic","934,279.5",""
"2017","Malta","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Netherlands","Thousand euro","Total","1 night or over","Domestic","3,577,620.45",""
"2017","Austria","Thousand euro","Total","1 night or over","Domestic","4,305,665.7",""
"2017","Poland","Thousand euro","Total","1 night or over","Domestic","5,884,894.15",""
"2017","Portugal","Thousand euro","Total","1 night or over","Domestic","1,774,277.38",""
"2017","Romania","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Slovenia","Thousand euro","Total","1 night or over","Domestic","202,529.45",""
"2017","Slovakia","Thousand euro","Total","1 night or over","Domestic","978,270.38",""
"2017","Finland","Thousand euro","Total","1 night or over","Domestic","5,616,316.84",""
"2017","Sweden","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","United Kingdom","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2017","Norway","Thousand euro","Total","1 night or over","Domestic","6,511,308.35",""
"2017","Switzerland","Thousand euro","Total","1 night or over","Domestic",":",""
