"TIME","GEO","UNIT","DURATION","PARTNER","AGE","Value","Flag and Footnotes"
"2013","Bulgaria","Number","1 night or over","Domestic","65 years or over","111,615",""
"2013","Czechia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2013","Czechia","Number","1 night or over","Domestic","From 15 to 24 years","409,620",""
"2013","Czechia","Number","1 night or over","Domestic","From 25 to 34 years","505,116",""
"2013","Czechia","Number","1 night or over","Domestic","From 25 to 44 years","1,149,787",""
"2013","Czechia","Number","1 night or over","Domestic","From 35 to 44 years","644,671",""
"2013","Czechia","Number","1 night or over","Domestic","From 45 to 54 years","380,548",""
"2013","Czechia","Number","1 night or over","Domestic","From 45 to 64 years","918,120",""
"2013","Czechia","Number","1 night or over","Domestic","From 55 to 64 years","537,572",""
"2013","Czechia","Number","1 night or over","Domestic","65 years or over","675,221",""
"2013","Denmark","Number","1 night or over","Domestic","Less than 15 years",":",""
"2013","Denmark","Number","1 night or over","Domestic","From 15 to 24 years","168,207",""
"2013","Denmark","Number","1 night or over","Domestic","From 25 to 34 years","127,705",""
"2013","Denmark","Number","1 night or over","Domestic","From 25 to 44 years","296,835",""
"2013","Denmark","Number","1 night or over","Domestic","From 35 to 44 years","169,130",""
"2013","Denmark","Number","1 night or over","Domestic","From 45 to 54 years","185,983",""
"2013","Denmark","Number","1 night or over","Domestic","From 45 to 64 years","322,785",""
"2013","Denmark","Number","1 night or over","Domestic","From 55 to 64 years","136,802",""
"2013","Denmark","Number","1 night or over","Domestic","65 years or over","208,823",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","Less than 15 years",":",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 15 to 24 years","2,152,582",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 25 to 34 years","2,226,081",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 25 to 44 years","4,779,163",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 35 to 44 years","2,553,082",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 45 to 54 years","2,810,415",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 45 to 64 years","5,464,029",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","From 55 to 64 years","2,653,614",""
"2013","Germany (until 1990 former territory of the FRG)","Number","1 night or over","Domestic","65 years or over","4,092,142",""
"2013","Estonia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2013","Estonia","Number","1 night or over","Domestic","From 15 to 24 years","31,909",""
"2013","Estonia","Number","1 night or over","Domestic","From 25 to 34 years","40,676",""
"2013","Estonia","Number","1 night or over","Domestic","From 25 to 44 years","80,855",""
"2013","Estonia","Number","1 night or over","Domestic","From 35 to 44 years","40,179",""
"2013","Estonia","Number","1 night or over","Domestic","From 45 to 54 years","25,218",""
"2013","Estonia","Number","1 night or over","Domestic","From 45 to 64 years","70,309",""
"2013","Estonia","Number","1 night or over","Domestic","From 55 to 64 years","45,091",""
"2013","Estonia","Number","1 night or over","Domestic","65 years or over","47,739",""
"2013","Ireland","Number","1 night or over","Domestic","Less than 15 years",":",""
"2013","Ireland","Number","1 night or over","Domestic","From 15 to 24 years","113,952",""
"2013","Ireland","Number","1 night or over","Domestic","From 25 to 34 years","158,335",""
"2013","Ireland","Number","1 night or over","Domestic","From 25 to 44 years","326,955",""
"2013","Ireland","Number","1 night or over","Domestic","From 35 to 44 years","168,619",""
"2013","Ireland","Number","1 night or over","Domestic","From 45 to 54 years","116,463",""
"2013","Ireland","Number","1 night or over","Domestic","From 45 to 64 years","198,009",""
"2013","Ireland","Number","1 night or over","Domestic","From 55 to 64 years","81,547",""
